书序,书名,作者,出版社（版本）,ISBN码,内容简介,阅读要点,阅读建议,grade,编号
5.0,小鹿斑比,【奥】费利克斯·萨尔腾,山东画报出版社/果麦文化,9787547436929.0,《小鹿斑比》是一个温暖且充满智慧的故事，主要讲述了斑比这只小鹿从幼小、懵懂到成为森林中威严鹿王的成长过程。刚出生的斑比对世界充满好奇，它在母亲和朋友们的陪伴下，学会了如何在森林里生存。斑比经历了友情的温暖、家庭的爱护以及生命的起伏。故事贯穿了斑比对生活的探索和对挑战的克服，展现了成长的勇气和生命的价值。这个故事简洁地揭示了生活中的美好与痛苦，以及成长带来的智慧和力量。,"1、角色成长：留意斑比如何从一只小鹿成长为森林中的鹿王，他的成长过程中遇到了哪些挑战，又是如何克服这些挑战的。
2、友情与亲情：关注斑比与其他森林动物之间的友情，以及斑比与母亲之间深厚的亲情，对斑比成长的影响。
3、人与自然：书中通过斑比的故事探讨了人与自然的关系，阅读中思考人类对自然环境和动物的影响。","1、角色比较：比较斑比与其他角色（如斑比的母亲、老年雄鹿等）的性格和成长，思考这些角色如何影响斑比的成长。
2、主题探讨：讨论《小鹿斑比》所传达的主题，例如成长的艰辛、生命的脆弱、人与自然的关系等。
3、情感共鸣：分享阅读过程中与斑比的情感共鸣点，尤其是在面对困难和挑战时的感受。",三年级,
6.0,傻狗温迪克,【美】凯特·迪卡米洛,新蕾出版社,9787530768914.0,《傻狗温迪克》是美国作家凯特·迪卡米洛的作品，讲述了一只名叫温迪克的流浪狗和小女孩欧宝之间的故事。欧宝是一个孤独、内向的女孩，生活在一个新搬来的小镇上，与父亲相依为命。她的生活因为温迪克的到来而发生了翻天覆地的变化。温迪克不仅带给她友谊和爱，还帮助她面对失去母亲的悲伤，并获得了重新面对生活的勇气。温迪克用它的魔力笑容征服了小镇上的人们，促进了他们之间的交流和理解，让整个小镇充满爱和温暖。,"1、角色特点：关注温迪克和欧宝如何影响彼此以及周围人的变化，特别是温迪克如何用它的乐观和爱改变了小镇上的人们。
2、主题理解：通过故事，学会面对生活中的困难和挑战，了解友情、爱以及勇气的重要性。3、情节预测：在阅读过程中，尝试预测故事会如何发展，以及温迪克会如何用它的行动影响更多的人。","1、想象与预测：当你读到温迪克和欧宝的冒险时，试着想象下一步会发生什么，这样可以提高你的阅读兴趣。
2、情感共鸣：尝试理解书中角色的感受，想想如果你是他们，会有怎样的感觉，这可以帮助你更好地理解故事。
3、深入思考：读完故事后，思考温迪克如何改变了小镇和人们的生活，以及这个故事对你有什么启示。",三年级,
7.0,魔法师的帽子（姆咪故事系列）,【芬兰】托芙·扬松,人民文学出版社,9787020124411.0,《魔法师的帽子》是由托芙·扬松创作的一部精彩的儿童文学作品，属于姆咪系列故事之一。这个故事发生在姆咪谷，一个充满奇幻和温馨的地方，姆咪一家和他们的朋友们发现了一顶神奇的帽子，这顶帽子属于一位魔法师。这顶帽子能够让任何放进去的东西都发生奇妙的变化，这给姆咪谷的居民们带来了许多惊喜和冒险。通过这些经历，姆咪和他的朋友们懂得了友情、爱和勇气的重要性。,"1、友谊与冒险：关注姆咪和他的朋友们是如何通过这顶魔法帽子的冒险，加深了他们之间的友情。
2、想象力的重要性：留意故事中的想象元素，思考它们如何激发你的想象力和创造力。
3、面对未知的勇气：观察角色们是如何面对未知和意外情况的，学习他们展现出的勇气和解决问题的方法。","1、深入角色：尝试理解每个角色的性格和动机，想象自己是故事中的一员，这将帮助你更好地投入阅读。
2、创造性思考：在阅读时，想象如果你拥有那顶魔法帽子，你会怎么使用它，这有助于提升你的创造性思考能力。
3、与朋友分享：和朋友们讨论书中的冒险故事，分享你最喜欢的部分，这能增加阅读的乐趣，并加深友谊。",三年级,
8.0,大森林里的小木屋,【美】劳拉·怀尔德,人民文学出版社,9787020112999.0,《大森林里的小木屋》是由劳拉·怀尔德根据她早年的生活经历创作的，讲述了一个拓荒者家庭在19世纪美国大森林中的生活。这本书是她著名的《小木屋系列》的第一部，详细描绘了劳拉和她家人如何在简朴的环境中与大自然和谐共处。劳拉一家通过辛勤劳动和家庭成员之间的爱，克服生活中的挑战，共同创建他们最平淡、但也是最幸福的生活。,"1、家庭和自然：注意小女孩和她家人如何与自然和谐相处，以及他们如何在大自然中找到快乐和生活必需的东西。
2、动物朋友：关注故事中出现的各种动物，它们如何成为小女孩的朋友，以及这些友谊对她的成长有何影响。
3、生活技能：观察小女孩和家人是如何在森林中生存的，包括建造小木屋、寻找食物和与自然界的其他生物相处的方式。","1、想象与创造：在阅读时，尝试想象自己生活在大森林中的小木屋里，你会怎么做？你会和哪些动物成为朋友？
2、情感共鸣：通过小女孩与家人及动物的互动，感受他们之间的情感纽带，思考友情和家庭对你意味着什么。
3、勇气与独立：思考故事中的角色如何展现出勇气和独立性，以及这些品质如何帮助他们克服困难。",三年级,
9.0,中国古代寓言,曹文轩、陈先云,人民教育出版社,9787107316470.0,《中国古代寓言》汇集了许多中国历史上著名的寓言故事。这些故事以动物或人物为主角，通过简短有趣的情节，寓意深刻的道理，向我们展示了古代智慧和哲理。书中的故事如《叶公好龙》《鹬蚌相争》和《画蛇添足》等，不仅令人捧腹，更是富含教育意义，教会我们诸如诚实、勇敢、智慧以及警惕虚假的外表等生活道理。,"1、故事寓意：注意每个故事背后深藏的哲理，如何通过故事中的事件理解古人的智慧与道德观念。
2、人物形象：观察故事中的人物或动物角色，他们的行为和选择如何体现他们的性格和故事的主题。
3、文化背景：理解这些寓言故事在中国古代社会中的意义，以及它们如何反映了当时的社会文化和人们的生活方式。","阅读建议：
1、思考与讨论：阅读时，可以思考故事中的道理与现实生活中是否相符，与家人或朋友分享并讨论故事中的寓意。
2、绘制故事图：选择几个喜欢或熟悉的故事，尝试制作简单的故事板，或用绘画的方式，帮助你理解并记忆故事的情节和角色。
3、联系生活：尝试将故事中的智慧应用到日常生活中，比如面对困难时如何选择，或者与人相处的智慧。",三年级,
10.0,长袜子皮皮（林格伦作品选集·美绘版）,【瑞典】阿斯特丽德·林格伦,中国少年儿童出版社,9787500794141.0,《长袜子皮皮》是瑞典女作家阿斯特丽德·林格伦的经典儿童文学作品。书中的主角皮皮是一个力大无穷、勇敢、自由、充满正义感的小女孩，她有着红色的头发、满脸的雀斑，穿着不配套的长袜子和过大的鞋子。皮皮住在自己的小屋里，与一匹马和一只猴子为伴，她的父亲是一个海盗船长，母亲已经去世。皮皮不去学校，她的生活充满了冒险和惊奇，她用自己的方式帮助朋友，对抗不公，展现了一种无拘无束、自由自在的生活态度。,"1、角色特性：留意皮皮的行为和言语，以及她与其他角色之间的互动。思考这些互动如何展现皮皮的独立性、勇敢和正义感。
2、主题理解：在阅读过程中，关注友情、勇敢、正义和自由等主题如何在皮皮的冒险中得到体现。理解这些主题对于个人成长的意义。
3、文化背景探索：书中的某些情节或角色行为可能与作者的生活经历有关，通过阅读，探索作者的创作背景，这会增加阅读的深度和趣味性。","1、想象力的运用：在阅读过程中，发挥你的想象力，想象自己是故事中的角色，和皮皮一起冒险。
2、挑战传统思维：皮皮的行为和决策往往打破常规，阅读时思考这些行为背后的意义，以及它们如何挑战传统的思维方式。
3、探索友谊的意义：通过皮皮和她朋友们的互动，思考友谊的意义以及如何成为别人的好朋友。",三年级,
11.0,伊索寓言,曹文轩、陈先云,人民教育出版社,9787107316371.0,《伊索寓言》集合了357则短小精悍的故事，这些故事大多以动物为主角，富含深刻的哲理和道德启示。故事背景多元，既有古希腊的本土色彩，也融入了印度、阿拉伯及基督教的元素。通过生动的动物形象和扣人心弦的情节，揭露社会矛盾，抒发人生领悟，总结日常生活经验。作为西方寓言文学的典范之作，它对后代寓言创作产生了深远的影响，成为全球广泛传播的经典之一。,"1、动物形象：识别和理解故事中动物代表的性格和特点，如狡猾的狐狸、勇敢的老鼠等，思考这些性格特点如何与故事的道德寓意相结合。
2、故事寓意：关注每个故事背后的道德启示，如诚实、勇气、智慧和正义等，思考这些道德启示在现实生活中的应用。
3、故事情节：留意故事的结构和情节发展，通过分析故事如何展开和结束，理解寓言的叙事技巧和创作特点。","1、角色扮演：尝试扮演故事中的不同角色，通过角色扮演活动深入理解角色性格和故事寓意，增强对故事的感知和体验。
2、情境讨论：与同学们一起讨论故事中的道德问题，比如在现实生活中遇到类似情境时应该如何做，培养分析问题和解决问题的能力。
3、创意绘画：根据故事内容绘制创意插图，通过绘画表达对故事的理解和感受，激发创造力和想象力。",三年级,
12.0,小猫凯蒂和她的四条命,【德】米亚姆·普莱斯勒,陕西人民教育出版社/奇想国,9787545078411.0,《小猫凯蒂和她的四条命》是一本非常有趣的书，讲述了一只叫凯蒂的猫，她在不同的生命阶段经历了不同的冒险和学习。首先，她和家人一起度过了她的第一段生命，但这段时间很短暂。然后，在和退休教师艾玛相伴的第二段生命中，凯蒂学到了很多生活的道理。接下来，在街头流浪的生活中，她遇到了很多朋友，他们教会了她生命的意义。最后，当秋天来临，凯蒂发现自己即将成为妈妈，她找到了新的主人，准备迎接新的生活。这本书通过凯蒂的故事，传达了成长、善良、坚强和独立的信息。,"1、角色成长：注意凯蒂如何从一只懵懂的小猫成长为一只善良、坚强和独立的猫妈妈，以及这个过程中她如何学习和适应。
2、友情与教育：探索凯蒂与遇到的不同角色之间的关系，包括她如何从每个朋友那里学到生存的技巧和生命的意义。
3、生命的循环：思考这本书是如何通过凯蒂的四条生命来展示生命的循环和继续，以及这对你意味着什么。","1、情感共鸣：在阅读过程中，试着理解凯蒂的感受，想象你如果是凯蒂，会怎么做。这有助于增强同理心和情感理解。
2、创意绘画：书中有很多插图和诗歌，你可以尝试自己画一些插图或写一首诗，描述凯蒂的某个场景或你对她的想象。
3、讨论与分享：和你的朋友、家人讨论凯蒂的故事，分享你最喜欢的部分和你从中学到的东西。",三年级,
13.0,真正的贼,【美】威廉·史塔克,二十一世纪出版社,9787556855018.0,《真正的贼》是一本关于勇气和正义的故事。主角加文，一只忠诚的鹅，被任命为皇家宝库守卫。一天，宝库神秘失窃，加文竟然被指控为贼。面对误解和背叛，他踏上了证明清白的旅程。这个过程中，真正的贼内心煎熬，最终选择归还宝物，而加文也得以洗清冤屈。这个故事深刻探讨了信任、友谊、诚实与勇气的主题。,"1角色特点：留意加文如何展现其忠诚和正直的品质，以及这些特质如何让他面对挑战时作出选择。
2、主题理解：理解信任和诚实在故事中扮演的重要角色，思考这些价值观在你的生活中如何体现。
3、情节推理：观察故事情节如何发展，尤其是加文如何被误解和最终如何证明自己的清白。","1、角色代入：在阅读时，试着想象自己是加文，思考面对类似情况你会怎么做，为什么会这么做。
2、深度讨论：与朋友或家人讨论信任和误解的话题，看看他们对故事有何不同看法。
3、情感共鸣：试着理解加文被误解时的感受，想想你是否也有过被误解的经历，这种经历让你有何感受和收获。",三年级,
14.0,了不起的大盗奶奶（大卫·少年幽默小说系列）,【英】大卫·威廉姆斯,接力出版社,9787544875103.0,《了不起的大盗奶奶》是一本由大卫·威廉姆斯所著的儿童文学作品，讲述了一个关于勇敢、智慧与爱的故事。书中的主人公是一个普通的小男孩和他的奶奶。不同于一般的温馨故事，奶奶其实是一个“职业大盗”，而她最大的梦想是偷走伦敦塔的御宝。奶奶教会了小男孩很多关于成为大盗的技巧，但在这个过程中，他们之间发生了许多有趣、紧张又充满智慧的冒险。这本书不仅充满了幽默和惊喜，而且还蕴含着对家庭、勇气和正直的深刻理解。,"1、角色特点：关注小男孩和奶奶的性格特征及其发展，思考这些特点如何推动故事情节的进展。
2、主题理解：认识到勇敢、智慧、爱在故事中的表现，以及它们是如何影响角色的行动和成长的。
3、情节预测：在阅读的过程中，尝试预测接下来会发生什么，这样可以使阅读更加有趣。","1、想象与预测：在阅读每一个章节时，试着想象自己是主人公，遇到这样的情况你会怎么做，这有助于提升你的想象力和同理心。
2、情感共鸣：试着理解奶奶和小男孩的感受，思考家庭成员之间的爱是如何在不同的情境下表现出来的。
3、深入思考：每次阅读后，思考这个故事对你有什么启示，勇敢和智慧在你的生活中有什么样的意义。",三年级,
15.0,手绢上的花田,【日】安房直子,接力出版社,9787544873765.0,《手绢上的花田》讲述了一个名叫良夫的邮递员，他受到一位老奶奶的委托，保管一个能酿制菊花酒的神奇酒壶。只要轻轻唱起歌，酒壶里就会出现五个小小人，在一块手绢上种植出一片菊花田，酿制出美味的菊花酒。老奶奶留给良夫两个重要的嘱托：酿酒时谁也不能看见，且不可用菊花酒谋利。随着时间推移，良夫的贪心逐渐滋生，忘记了最初的承诺，从而引发了一系列不可思议的事件。,"1、角色变化：注意良夫和小小人的性格与行为如何随故事发展而变化，以及这些变化如何推动故事情节。
2、故事主题：关注诚实与信任、贪婪与后果之间的关系，思考这些主题在现实生活中的具体体现，以及它们的意义。
3、故事情节：随着阅读的深入，尝试预测故事将如何发展，探究故事背后可能的道理和教训。","色决策背后的动机和故事的深层含义。

2、角色扮演： 试着将自己置于故事中的不同角色，想象如果你是良夫、绘美子或是老奶奶，你会如何处理故事中的情节。这将帮助你更深刻地理解每个角色的选择及其后果。
3、批判性思考：故事结束后，花时间思考故事提出的道德问题，例如为什么诚实和守信非常重要，贪婪可能会带来什么样的后果。",三年级,
16.0,小狗钱钱,【德】博多·舍费尔,中信出版集团,9787521726473.0,"《小狗钱钱》讲述了一个关于叫吉娅的女孩和一只特别的小狗钱钱的故事。吉娅是
一个普通的女孩，一天她遇到了一只受伤的小狗，并将其带回家照顾。没想到，这
只小狗不仅能说人话，还是一个理财高手！通过小狗钱钱，吉娅学到了很多关于钱
的知识，比如如何节约、投资和增加财富。这个故事充满了魔法，告诉我们任何人
都能通过智慧和努力实现自己的梦想。","《小狗钱钱》讲述了一个关于叫吉娅的女孩和一只特别的小狗钱钱的故事。吉娅是
一个普通的女孩，一天她遇到了一只受伤的小狗，并将其带回家照顾。没想到，这
只小狗不仅能说人话，还是一个理财高手！通过小狗钱钱，吉娅学到了很多关于钱
的知识，比如如何节约、投资和增加财富。这个故事充满了魔法，告诉我们任何人
都能通过智慧和努力实现自己的梦想。","1、金钱观的转变与理财新知识：在阅读的过程中，思考你自己对钱的看法是否发生
了变化，你学到了哪些理财的新知识。
2、应用理财技巧：注意书中的理财小技巧，比如“梦想储蓄罐”、“成功日记”等，
思考你如何在自己的生活中应用这些技巧。
3、分享与交流：分享你的阅读体验和学习到的知识给家人和朋友，讨论你们对书中
观点的不同看法。",三年级,
17.0,和孩子聊聊生命里重要的事,【德】克里斯朵夫·海因,南方出版集团/花城出版社,9787536095489.0,《和孩子聊聊生命中最重要的事》是一本非常特别的书，它不像一般的故事书那样有连贯的故事情节，而是集合了许多简短的篇章，每个篇章都聚焦于生活中的一个小话题。这些话题包括友情、家庭、勇气、爱、失去、感恩等等，都是与孩子们的生活紧密相关的主题。书中的语言简洁明了，充满了温暖和智慧，旨在引导孩子们思考和探索这些重要的生命议题。,"1、思考主题：留意书中讨论的每个主题，思考它们在你自己的生活中的意义，以及你对这些话题的理解和感受。
2、价值观建立：通过阅读，认识到每个人都有自己的价值观，这些价值观是如何影响我们的行为和决策的。
3、生活实践：在阅读过程中，考虑你可以如何将书中的智慧应用到自己的生活中，比如怎样更好地与人交往，如何处理失去和挑战等。","1、分享和讨论：读完每个篇章后，可以与家人或朋友分享你的感受和想法，讨论这些主题在你们生活中的体现。
2、日记记录：建议写日记记录你对书中每个主题的思考和感悟，这不仅能帮助你更好地理解这些重要的事，也能锻炼你的表达和写作能力。
3、情感共鸣：尝试理解书中角色的情感和经历，思考如果是你，你会怎么做。这有助于培养同理心和情感理解能力。",三年级,
18.0,雾中的奇幻小镇,【日】柏叶幸子,南海出版公司/爱心树,9787544293778.0,《雾中的奇幻小镇》讲述了一个勇敢的小女孩理奈的夏日冒险故事。一个偶然的机会，理奈跟随一把神奇的小丑雨伞来到了被神秘雾气包围的雾谷小镇。在这里，四季的花朵会同时盛开，美味的糖果怎么吃都不会长胖，甚至胆小的大老虎都能成为你的朋友。但要想在这个奇妙的地方度过暑假，理奈首先需要通过一个叫皮考特婆婆的老人的一系列古怪考验。通过自己的勇敢、智慧和善良，理奈不仅度过了一个难忘的假期，还结识了许多有趣的新朋友，并最终获得了皮考特婆婆的再次邀请。,"1、角色特点：观察理奈和雾谷小镇上的居民，包括皮考特婆婆以及她遇到的各种奇妙的动物和精灵。想想看，他们各自有哪些特点，这些特点又是如何影响他们之间的故事的？
2、勇气与智慧：理奈面对挑战时展现出来的勇气和智慧。当你读到理奈如何解决问题和克服困难时，试着想想你会怎么做。
3、友谊的价值：理奈在雾谷小镇上结识的朋友们对她来说意味着什么？这本书是如何展现友谊的重要性的？","1、想象与创造：在阅读的时候，可以尝试着用你的想象力画出雾谷小镇的样子，或者想象自己就是书中的一个角色，你会如何与理奈和其他角色互动？
2、勇敢尝试：当你遇到书中理奈面对的挑战时，不妨思考一下如果是你，你会怎么做？这样可以帮助你理解角色的行动，也许还能学到面对困难时的一些应对方式。
3、分享感受：读书的时候，你可能会有很多感受和想法，不妨与你的朋友或家人分享，看看他们有什么不同的见解。",三年级,
19.0,星期天的巨人,【奥】海因茨·雅尼施,新蕾出版社,9787530764879.0,《星期天的巨人》是一部富有创意的儿童文学作品，讲述了乔纳森叔叔和他的侄子马克斯之间的故事。乔纳森叔叔每个星期天都会带着他的奇思妙想来到马克斯家，通过简单的物品创造出不可思议的游戏和冒险，如将客厅变成戈壁沙漠，用粉笔举办音乐会等。这些活动不仅给马克斯家带来了欢乐，也逐渐揭露了乔纳森背后的秘密……书中通过这些充满创造力的活动，探讨了家庭、爱和在平凡中寻找快乐的主题。,"1、想象力的展现：留意乔纳森叔叔如何通过他的想象力和创造力，为马克斯和家庭带来快乐和惊喜的故事，思考想象力在日常生活中的应用和重要性。
2、家庭关系的深度：关注书中描绘的家庭成员之间的情感联系，尤其是乔纳森叔叔与马克斯之间的特殊关系，理解亲情的温暖和对个人成长的影响。
3、尝试与探索的勇气：在阅读过程中，思考乔纳森叔叔鼓励孩子们勇于尝试新事物的行为，以及它们如何促进个人的学习和成长。","1、动手实践：读完《星期天的巨人》后，试着自己动手做一些乔纳森叔叔书中的创意活动，比如用家里的物品来创造一个新游戏。
2、画出你的想象：读书时，如果你想象到了一些有趣的场景，可以试着画下来。这样可以帮助你更好地记住故事。
3、创作你自己的故事：阅读完之后，用你的想象力创作出属于自己的奇妙故事，想象如果你有一个像乔纳森叔叔一样的亲戚，他会带给你什么样的惊喜和冒险？",三年级,
20.0,洋葱头历险记（罗大里经典作品）,【意】贾尼·罗大里,中国少年儿童出版社,9787514816242.0,《洋葱头历险记》讲述了一个勇敢、机智的洋葱头，为了救出被不公正对待的人们，与朋友们一起经历一系列惊险的冒险。他们在冒险中展现出了智慧、勇气和正义感，最终战胜了邪恶的柠檬王，为被压迫的人们带来了自由和希望。故事中还有许多有趣的角色，如番茄骑士、小樱桃、南瓜大爷等，每个角色都有其独特的性格和故事，使这个故事充满了乐趣和想象。,"1、角色特点：留意洋葱头的勇敢和智慧，以及其他角色的独特性格。例如，怎样的性格使洋葱头能够在危机时刻做出正确的决定？
2、主题理解：识别故事中关于正义、勇气、友情和智慧的主题。思考这些主题如何通过故事中的事件和角色行为展现出来，以及这些主题给你的启示是什么。
3、情节预测：利用已知的情节和角色性格来预测故事的下一步发展。例如，当洋葱头和朋友们面临困难时，你认为他们会如何解决问题？","1、想象与预测：在阅读过程中，积极想象故事中的场景，如洋葱头和朋友们如何勇闯柠檬王的城堡。并在遇到悬念时，尝试预测接下来的情节。

2、角色扮演：选择一个角色，想象自己处在他/她的位置上，面对故事中的挑战你会怎么做。这不仅可以帮助你更深入理解角色的选择和行为，还能培养同理心和创造力。
3、深入思考：在阅读结束后，深入思考故事中提出的主题和问题，如正义和勇气在现实生活中的意义，以及我们如何面对困难和挑战。",三年级,
1.0,神奇点心店1：圆梦橡皮糖闯祸了,【日】广岛玲子,北京科学技术出版社,9787571417505.0,《神奇点心店——圆梦橡皮糖闯祸了》是一本充满奇幻色彩的儿童文学作品。故事发生在一家名为“钱天堂”的神秘点心店，这里出售的点心都带有不可思议的魔法效果。书中讲述了几个孩子因为各自的烦恼和愿望，走进这家点心店，并购买了具有特殊功效的点心。比如，害怕游泳的真由美买到了能让她变成游泳高手的美人鱼橡皮糖，但随之而来的却是一系列意想不到的变化。这些故事不仅富有想象力，还蕴含着深刻的生活哲理和道德教育。,"1、魔法点心：关注每种魔法点心的特点和它们带来的变化，理解这些变化对故事情节的影响。
2、问题解决：观察角色们如何使用魔法点心来解决他们遇到的问题，分析这些解决方案是否合理，以及是否有更好的解决办法。
3、愿望与后果：思考主人公们的愿望和实际发生的后果之间的关系，认识到每个选择都有其结果。","1、想一想：当你读到一个愿望被实现的时候，想一想如果是你，你会许什么愿望？为什么？2、感受情感：故事里的人物有时候会感到开心或难过，试着感受他们的情感，想想你能不能理解他们的感受。
3、创作自己的故事：试着写一个关于魔法点心的小故事，分享给你的朋友或家人，让他们也感受到你的创意和想象力。",二年级,
2.0,一只想飞的猫,陈伯吹,人民教育出版社,9787107335976.0,《一只想飞的猫》是一本充满轻松幽默色彩的童书，讲述了一只骄傲自满、好逸恶劳的猫的故事。这只猫非常喜欢吹嘘自己，声称自己是赛跑健将、歌唱家和渔业家，甚至还幻想自己能够飞上天。但它却不愿意学习，结果自不量力地尝试飞翔，最终摔了一个大跟头。通过这个故事，作者以幽默的方式传达了勤奋学习和脚踏实地的重要性 。,"阅读要点：
1、角色性格：注意这只猫的性格特点，它为何会有这样的行为和想法？这样的性格和行为最终给它带来了什么后果？
2、主题理解：故事通过猫的经历告诉我们一个什么样的道理？为什么勤奋学习和脚踏实地很重要？
3、情节推理：在阅读的时候，可以想想如果是你，你会怎么做？这只猫能从这次经历中学到什么？","1、想象与创造：想一想，如果你能给这只猫一些建议或帮助，你会怎么做？试着画一画或写一写你的想法。
2、分享与讨论：和你的朋友们分享这个故事，讨论一下每个人对于这只猫的看法以及故事背后的意义。
3、深入思考：思考生活中是否有时候也像这只猫一样，有一些不切实际的梦想？应该怎样正确对待自己的梦想和目标？",二年级,
3.0,小熊维尼,【英】艾伦·亚历山大·米尔恩,四川文艺出版社,9787541157585.0,《小熊维尼》是关于一个叫维尼的小熊和他在森林里的朋友们的故事。维尼熊特别喜欢吃蜂蜜，他总是想办法找到蜂蜜吃。他有很多朋友，比如兔子、猪、老虎，还有他最好的朋友，一个名叫克里斯托弗·罗宾的小男孩。他们一起在森林里玩耍，经历很多有趣的冒险。,"1、了解角色：记住维尼和他的朋友们，每个人都有自己特别的性格和喜好，比如维尼喜欢蜂蜜，兔子非常聪明，总是有很多主意。
2、学习友情：这个故事告诉我们朋友很重要，朋友之间要互相帮助，一起玩耍更快乐。
3、发挥想象：想象你也在森林里和维尼熊一起冒险，会遇到什么有趣的事呢？","1、画画：读完故事后，你可以画画，画出维尼熊和他的朋友们，或者画出他们一起冒险的场景。
2、讲故事：试着把维尼熊的故事讲给家人听，看看你能不能让故事听起来更有趣。
3、扮演角色：和朋友们一起扮演故事里的角色，比如你可以扮演维尼，朋友扮演兔子或者老虎，然后一起玩。",二年级,
4.0,去年的树,【日】新美南吉,浙江少年儿童出版社,9787534269646.0,《去年的树》是由日本童话作家新美南吉创作的一本童话故事集。故事围绕着一些动物和自然元素，讲述了它们之间的友情和互相帮助的故事。例如，一只小鸟和一棵树成为了好朋友，小鸟每天都给树唱歌。还有，一只小狐狸成功地从人类那里买到了手套，一只小鹿闻到了花香，了解到了春天的模样。故事中还有黄青蛙和绿青蛙，它们学会了不再为了比较谁更好看而争吵……这些故事不仅充满了想象力和趣味性，还蕴含了深刻的寓意，比如友情的重要性、勇敢、互相帮助等。,"1、友情的美好：留意故事中动物之间的友谊，例如小鸟和树的故事，让我们知道朋友之间应该怎样互相帮助和关心。
2、勇气与智慧：学习故事中的动物如何勇敢面对困难，用智慧解决问题，比如小狐狸如何巧妙地从人类手中获取手套。
3、自然的奇妙：观察书中对大自然的描绘，比如小鹿通过闻到花香认识春天，让我们感受到自然世界的美好和奇妙。","1、用心感受友谊：在阅读的时候，想一想你和你的朋友之间有没有类似小鸟和树那样的友谊故事。
2、勇敢尝试：故事告诉我们遇到困难不要害怕，就像小狐狸那样，用智慧和勇气去面对困难，最终会有好结果。
3、爱护自然：在读到自然景象的描写时，可以和家人一起去户外，亲身体验书中的美好，学习如何爱护我们的环境。",二年级,
5.0,歪脑袋木头桩,严文井,人民教育出版社,9787107337413.0,《“歪脑袋”木头桩》是严文井创作的童话集，包含《歪脑袋木头桩》《小溪流的歌》和《丁丁的一次奇怪旅行》三个故事。这本书通过生动的情节和丰富的想象力，展现了角色们的成长与变化。《歪脑袋木头桩》讲述了一个木头桩从骄傲自大到成为孩子们玩伴的故事；《小溪流的歌》描绘了小溪流不断成长，最终汇入大海的过程；《丁丁的一次奇怪旅行》则是关于丁丁在冒险中学会勇敢和自信的故事。这些故事极富想象力，传递了积极的人生哲理和价值观。,"1、角色成长：分析三个故事中的主要角色如何经历成长和变化，从他们的旅程中学习到的重要品质和生活哲理。
2、主题理解：理解每个故事传达的核心主题，如自尊、自强、勇气和自信，以及这些主题如何与孩子们的现实生活相联系。
3、情感共鸣：体会故事中角色的情感波动，尤其是他们在面对挑战和困难时的感受，以及如何通过努力克服困难。","1、互动讨论：在阅读每个故事后，与同伴或家长分享你最喜欢的角色和情节，表达对故事的理解和个人感受，尤其是对角色成长过程的感悟。
2、情感体验：在阅读时将自己代入故事情境，体会角色的情感变化，学习如何在生活中运用故事中学到的品质。",二年级,
6.0,林良爷爷的700字故事,林良,福建少年儿童出版社,9787539566269.0,《林良爷爷的700字故事》汇集了林良爷爷编写的一系列精彩而短小的故事。这些故事语言简洁易懂，每个故事都不超过700个字，但都能带给我们深刻的启示和乐趣。故事里的内容丰富多彩，涵盖了友情、勇敢、智慧、爱心等多种主题，传达了深刻的生活智慧和道德观念。这些故事不仅能够培养我们的阅读兴趣，还能激发我们的想象力和创造力。,"1、留意故事主题：在阅读每个故事时，留意故事想要传达的主题和教训，思考这些故事如何与你自己的生活经验相联系。
2、关注角色行为：注意故事中不同角色的行为和选择，理解他们的行为背后的动机和情感。3、发现故事细节：在阅读过程中，注意故事中的小细节，这些细节往往能增加故事的趣味性，也可能隐藏着重要的意义。","1、讲述自己的故事：读完每个故事后，尝试自己编写一个200字左右的小故事，可以是自己的真实经历，也可以是富有想象的创作。
2、与家人分享：选择你最喜欢的故事，与你的家人一起分享，并讨论故事中的主题和教训。3、绘制故事插图：为你最喜欢的故事绘制插图，通过画画来表达对故事的理解和感受。",二年级,
7.0,海猫的旅程1：海猫族的藏宝图,【日】竹下文子,北京科学技术出版社,9787571431419.0,《海猫的旅程——海猫族的藏宝图》是《海猫的旅程》系列作品的第一本，讲述了一段令人兴奋的寻宝冒险故事。故事的主人公小剑，一个充满好奇心和探险精神的男孩，在一次偶然的机会中遇到了神秘的黑猫珊瑚郎。珊瑚郎手持一张神秘的藏宝图，邀请小剑一同踏上寻找海猫族遗失宝藏的冒险旅程。在这段旅程中，他们不仅面临着各种各样的挑战和谜团，还学会了团队合作的重要性。通过勇气、智慧和友谊的力量，他们一起探索未知，揭示了藏宝图背后的秘密。,"1、角色特点：关注小剑和珊瑚郎这两个角色的性格特点及他们之间的友情如何影响整个冒险过程。
2、情节理解：理解藏宝图引导下的冒险旅程，以及他们是如何通过智慧和勇气克服困难的。
3、主题思考：思考勇气、友谊和探索精神在故事中的表现及其对你的启示。","1、联想与想象：在阅读过程中，想象自己是故事中的一员，遇到困难时会怎么做？这样可以加深对故事情节的理解。
2、深入讨论：和同学们一起讨论小剑和珊瑚郎面临的挑战，以及他们如何解决问题。分享你对他们行为的看法和感受。
3、扩展思考：思考故事中展示的友情、勇气和团队合作对你生活中的意义，以及你如何应用这些价值观。",二年级,
